ticket_id,airline_flight,name,gender,dob,dop,dod,is_adult,from,to,distance,num_stops,has_loyalty,price_tier,price
IDXX93513,Adonis\AS-998,Ms. Johnna Johnson,F,2001-12-06,2021-05-24,2021-06-08,1,Croatia,Bulgaria,865.1,1,1,2,513.15
IDYY64279,Calisto\CS-120,Mr. Mark Ludeker,M,1986-02-11,2021-10-23,2022-09-18,1,Mongolia,Suriname,14048.36,1,0,2,2666.03
IDYY04574,Calisto\CS-368,Mr. Wayne Ruiz,M,2018-01-14,2021-02-23,2022-02-18,1,Burundi,Montenegro,5238.48,2,1,1,549.77
IDZZ04847,Omega\OG-052,Mr. Anthony Rader,M,2017-06-20,2021-01-30,2021-07-07,0,Panama,Jordan,12037.08,2,1,2,1469.49
IDXX97459,Adonis\AS-873,Ms. Kimberly Davis,F,1990-12-04,2021-03-06,2021-05-02,1,Belarus,Australia,13285.1,2,0,3,4277.56
IDYY79741,Calisto\CS-769,Mr. Leroy Bosco,M,2016-10-08,2021-02-01,2021-12-22,0,Austria,Paraguay,10735.4,1,1,1,1045.77
IDXX62278,Adonis\AS-531,Mr. Andrew Louis,M,1988-12-20,2021-09-24,2022-01-30,1,Kiribati,Uruguay,11940.8,1,0,2,2790.91
IDZZ33694,Omega\OG-039,Mr. Thomas Hardy,M,1983-06-09,2021-10-09,2022-06-02,1,Libya,Ecuador,10648.8,2,0,1,940.53
IDZZ18599,Omega\OG-314,Ms. Peggy Suarez,F,1982-06-28,2021-06-10,2021-11-06,1,Christmas Island,Mauritania,13186.47,1,1,2,1791.91
IDZZ72899,Omega\OG-141,Ms. Angela Murphy,F,2007-06-02,2021-09-25,2021-10-06,0,South Korea,Panama,14255.55,1,0,2,2010.43
IDXX87325,Adonis\AS-427,Ms. Edith Lander,F,1990-02-01,2021-03-13,2021-12-25,1,South Africa,São Tomé and Príncipe,3833.65,2,0,2,1082.14
IDXX42843,Adonis\AS-055,Mr. Gerald Coleman,M,2018-02-15,2021-05-19,Fri Mar 11 00:00:00 2022,0,Jamaica,Brazil,4551.62,1,0,1,757.61
IDZZ19290,Omega\OG-184,Mr. David Mcpherson,M,2016-01-02,2021-11-08,2022-10-16,0,Slovakia,Belgium,1115.77,0,0,2,536.86
IDXX75032,Adonis\AS-662,Ms. Sylvia Baxter,F,1980-05-12,2021-04-18,2022-04-13,1,Croatia,Cambodia,9015.49,1,1,1,1170.2
IDYY08729,Calisto\CS-954,Mr. Michael Farmer,M,2009-02-10,2021-01-31,2021-04-27,0,Latvia,Singapore,9238.72,2,1,2,1492.61
IDZZ25821,Omega\OG-069,Ms. Tiffany Dobiesz,F,2002-03-02,2021-02-23,2021-10-16,1,Senegal,Gabon,3338.3,1,1,2,731.52
IDXX36031,Adonis\AS-021,Mr. Jerry Tillett,M,1994-03-12,2021-01-24,2021-08-04,1,Ethiopia,Belize,13705.66,1,0,1,1773.36
IDYY35017,Calisto\CS-099,Mr. Charles Chaidez,M,2000-05-16,2021-03-29,2021-11-14,1,Christmas Island,Saint Kitts and Nevis,18574.03,2,0,2,3269.22
IDXX32405,Adonis\AS-127,Ms. Silvia Booth,F,2013-02-11,2021-08-22,2022-07-19,0,Guadeloupe,Serbia,8168.27,2,1,1,908.41
IDYY34866,Calisto\CS-937,Ms. Karin Freudenburg,F,1982-11-24,2021-02-19,2021-05-05,1,Saint Helena,Montenegro,8030.23,2,0,2,1588.83
IDYY56088,Calisto\CS-353,Mr. Timothy Mckinney,M,2005-05-07,2021-02-01,2021-09-03,1,Maldives,Cameroon,6757.95,1,0,1,955.1
IDZZ54935,Omega\OG-575,Ms. Etta Nadeau,F,2014-10-26,2021-02-26,2021-06-12,0,Dominica,Monaco,7142.38,1,0,2,1167.64
