ticket_id,airline_flight,name,gender,dob,dop,dod,is_adult,from,to,distance,num_stops,has_loyalty,price_tier,price
IDZZ87758,Omega\OG-289,Mr. Patrick Morris,M,2021-02-17,2021-01-08,2021-12-14,0,Cape Verde,Macedonia [FYROM],5210.04,1,1,1,
IDZZ94121,Omega\OG-438,Ms. Sophia Maggard,F,1986-09-22,2021-04-20,2021-08-15,1,Cocos [Keeling] Islands,Niue,9915.1,0,1,2,
IDZZ04099,Omega\OG-164,Ms. Grace Ziegler,F,1990-12-01,2021-12-09,2022-09-08,1,Angola,Montserrat,9340.15,1,0,1,
IDZZ36820,Omega\OG-547,Ms. Krista Jones,F,1989-01-01,2021-07-23,2022-01-23,1,Liechtenstein,Liberia,4883.13,2,0,2,890.57
IDYY84689,Calisto\CS-469,Mr. Peter Medley,M,2003-10-12,2021-10-12,2022-07-27,1,Trinidad and Tobago,Ghana,6610.2,1,1,1,
IDYY81778,Calisto\CS-907,Mr. Gary Warner,M,2006-01-21,2021-01-08,2021-07-10,0,Sudan,Mexico,13485.8,1,0,2,2459.21
IDYY19060,Calisto\CS-325,Ms. Sandra Guerra,F,1986-08-18,2021-05-02,2022-01-07,1,Svalbard and Jan Mayen,France,3611.88,0,0,1,
IDYY68469,Calisto\CS-030,Mr. Ernest Turner,M,2008-05-13,2021-12-29,2022-09-07,0,Bangladesh,Puerto Rico,14742.48,2,1,1,1234.1
IDYY82494,Calisto\CS-425,Ms. Annie Bowens,F,1982-11-18,2021-01-20,2021-07-03,1,Uganda,Chile,11355.89,1,0,2,2234.83
IDYY98276,Calisto\CS-947,Mr. Richard Robertson,M,1990-03-18,2021-04-17,2021-11-12,1,Kenya,Oman,3094.81,2,1,1,498.89
IDYY24749,Calisto\CS-091,Ms. Thea Cooper,F,2000-07-25,2021-04-27,2021-10-11,1,Moldova,China,6184.27,2,1,2,1160.52
IDYY19041,Calisto\CS-060,Ms. Lillian Schrock,F,2007-07-13,2021-07-27,2022-02-19,0,Aruba,Ireland,7043.53,2,1,2,1177.65
IDZZ97840,Omega\OG-257,Ms. Stacy Tipton,F,2019-10-21,2021-12-10,2022-01-23,0,Saudi Arabia,Gabon,4541.9,1,1,3,1004.35
IDXX36046,Adonis\AS-532,Mr. Michael Hardy,M,2018-10-01,2021-06-14,2021-10-01,0,Honduras,Kazakhstan,12512.0,1,0,2,2803.95
IDXX28101,Adonis\AS-360,Mr. Albert Hudspeth,M,1988-01-11,2021-04-16,2021-10-05,1,Poland,Cape Verde,5509.99,1,1,2,1360.18
IDYY71540,Calisto\CS-667,Ms. Elizabeth Mixon,F,2004-04-07,2021-07-02,2022-03-28,1,Morocco,Nauru,16499.97,2,1,1,1455.74
IDXX89342,Adonis\AS-308,Ms. Joan Bialczyk,F,2009-08-13,2021-03-13,2022-02-02,0,Slovenia,Malta,1138.15,1,1,1,
IDYY60785,Calisto\CS-509,Ms. Hermina Blanco,F,1993-04-03,2021-01-02,2021-11-14,1,Côte d'Ivoire,Hong Kong,12667.75,1,1,2,
IDZZ23080,Omega\OG-927,Ms. Janella Steed,F,2009-12-15,2021-08-02,2021-10-29,0,Luxembourg,São Tomé and Príncipe,5524.74,1,1,2,
IDZZ66593,Omega\OG-091,Mr. Gordon Reimer,M,2017-05-20,2021-01-18,2021-02-06,0,Iran,Finland,3840.91,2,1,3,785.07
IDXX16258,Adonis\AS-383,Ms. Shirley Desjardins,F,2003-08-02,2021-10-21,2022-09-05,1,Kenya,Congo [DRC],1850.76,0,0,1,682.27
IDXX63977,Adonis\AS-857,Ms. Morgan Cary,F,1989-01-25,2021-03-05,2021-06-02,1,Saint Lucia,Angola,9139.53,2,0,2,
IDZZ76682,Omega\OG-547,Mr. Donald Hebert,M,2005-01-06,2021-08-23,2022-08-16,1,Saudi Arabia,Tuvalu,14649.21,2,1,1,1053.32
IDZZ61895,Omega\OG-805,Ms. Jamie Blumenfeld,F,2017-01-14,2021-02-05,2021-05-20,0,Iraq,Dominican Republic,10941.7,1,0,2,1619.03
IDXX87717,Adonis\AS-535,Ms. Melissa Saxton,F,1997-03-01,2021-10-05,2022-09-20,1,Tuvalu,Nepal,10737.8,2,1,1,1235.72
IDYY71425,Calisto\CS-146,Ms. Barbara Starke,F,1999-10-02,2021-06-12,2022-04-01,1,Pakistan,Hong Kong,4522.07,2,1,1,595.56
