ticket_id,airline_flight,name,gender,dob,dop,dod,is_adult,from,to,distance,num_stops,has_loyalty,price_tier,price
IDYY07721,Calisto\CS-179,Mr. Todd Alonso,M,1985-05-03,2021-06-23,2022-04-19,1,Armenia,United Kingdom,3909.2,2,1,1,552.36
IDXX24961,Adonis\AS-428,Mr. John Dunaway,M,1998-06-20,2021-05-30,2022-05-23,1,Qatar,Guinea-Bissau,7096.83,1,0,1,1117.48
IDYY44622,Calisto\CS-803,Ms. Christina Mcnally,F,1995-07-07,2021-01-21,2021-08-03,1,New Zealand,Dominica,13955.27,1,0,1,1536.3
IDXX59704,Adonis\AS-157,Mr. Raymond Given,M,1994-06-07,2021-04-10,2022-04-02,1,Moldova,Cook Islands,17032.62,2,0,2,3700.15
IDZZ19210,Omega\OG-345,Ms. Mildred Boulos,F,2003-04-10,2021-03-08,2021-06-17,1,Ecuador,Eritrea,13072.36,1,0,2,1981.32
IDXX55780,Adonis\AS-960,Ms. Gloria Frisbee,F,1990-05-09,2021-12-22,2022-08-02,1,Togo,Pakistan,7476.3,0,1,1,1126.28
IDXX50432,Adonis\AS-413,Ms. Nancy Atkin,F,1983-04-17,2021-11-09,2022-04-27,1,Austria,Georgia,2328.74,2,1,2,691.76
IDXX61315,Adonis\AS-771,Mr. William Pollock,M,2008-10-31,2021-06-20,2021-11-30,0,Maldives,Nicaragua,17056.16,2,1,2,3246.21
IDZZ49599,Omega\OG-623,Mr. Craig Carter,M,1988-12-19,2021-11-03,2022-01-26,1,Chile,Tunisia,11437.22,1,1,2,1605.57
IDXX73762,Adonis\AS-801,Mr. James Waters,M,2008-02-06,2021-03-28,2021-10-02,0,Tuvalu,Serbia,15342.64,2,0,2,3278.88
IDYY25438,Calisto\CS-432,Ms. Mary Koontz,F,1990-05-14,2021-03-23,2021-12-06,1,Liberia,Palestinian Territories,5430.07,1,1,1,767.41
IDYY35289,Calisto\CS-865,Mr. Allen Davis,M,1984-03-02,2021-04-23,2021-09-05,1,Angola,Kiribati,18257.4,1,1,2,3009.8
IDYY43578,Calisto\CS-694,Ms. Doris Poux,F,1980-02-29,2021-04-22,2021-05-26,1,Saint Vincent and the Grenadines,Bermuda,2181.44,1,0,2,772.34
IDXX53895,Adonis\AS-432,Mr. Bill Ireland,M,2008-01-28,2021-08-05,2022-07-25,0,Luxembourg,Hungary,1028.3,0,0,1,501.5
IDXX39783,Adonis\AS-033,Ms. Johnnie Correia,F,2008-09-22,2021-05-09,2022-01-08,0,Central African Republic,Finland,6170.04,1,0,2,1533.32
IDYY90961,Calisto\CS-112,Ms. Corinne Erickson,F,2014-01-25,2021-11-12,2022-02-27,0,Sierra Leone,Albania,4810.77,2,1,2,853.15
IDZZ13641,Omega\OG-522,Ms. Teresa Camp,F,1988-05-18,2021-11-06,2022-03-06,1,South Africa,Moldova,8696.58,1,1,2,1310.06
IDZZ39467,Omega\OG-555,Mr. Edgar Sousa,M,2020-04-23,2021-07-31,2021-11-10,0,Ghana,Heard Island and McDonald Islands,9711.13,2,1,2,1211.65
IDXX02880,Adonis\AS-192,Ms. Karen Mcsorley,F,2020-05-11,2021-03-24,2021-12-18,0,Japan,Italy,9739.39,0,0,2,2348.46
IDYY94719,Calisto\CS-946,Mr. Davis Klein,M,2021-11-16,2021-05-27,2022-04-16,0,Fiji,Mongolia,10304.84,1,1,2,1750.36
IDYY00087,Calisto\CS-217,Mr. Christopher Carter,M,1988-07-23,2021-11-19,2022-05-15,1,China,Oman,4922.43,1,1,2,1085.09
IDYY46474,Calisto\CS-489,Ms. Kimberly Ebeid,F,1984-10-16,2021-03-21,2021-05-10,1,Bosnia and Herzegovina,China,7099.89,1,1,2,1404.31
IDZZ42997,Omega\OG-648,Ms. Mary Umphrey,F,2011-10-06,2021-03-10,2022-02-19,0,Guernsey,Serbia,1889.87,0,0,2,633.9
IDXX15554,Adonis\AS-725,Ms. Angela Sylvester,F,2000-04-29,2021-12-04,2022-06-01,1,Lesotho,Azerbaijan,8017.96,2,0,2,1900.15
IDZZ21328,Omega\OG-094,Ms. Thelma Anderson,F,1985-02-20,2021-07-29,2022-07-12,1,Vietnam,Iceland,10201.48,1,0,1,1031.18
IDYY89482,Calisto\CS-225,Ms. Amy Mieloszyk,F,1982-07-08,2021-09-06,2022-03-22,1,Turkmenistan,Albania,3335.89,2,1,1,515.88
IDXX42431,Adonis\AS-018,Mr. John Padgett,M,1981-03-27,2021-07-14,2022-05-16,1,Ireland,Mauritius,10338.14,2,0,1,1335.14
IDYY57331,Calisto\CS-932,Mr. Erik Perez,M,2008-03-25,2021-03-16,2021-09-20,0,Tuvalu,Denmark,14466.94,2,0,1,1335.13
IDXX08618,Adonis\AS-329,Ms. Marilyn Lane,F,1985-03-31,2021-02-20,2021-05-17,1,Réunion,Niue,13368.91,1,1,2,4164.51
IDZZ35487,Omega\OG-828,Ms. Audrey Stange,F,2014-01-05,2021-04-22,2021-09-04,0,Switzerland,Gambia,4315.3,2,1,2,315.085
IDYY84044,Calisto\CS-144,Ms. Viola Wagner,F,1993-04-02,2021-01-05,2021-12-23,1,Georgia,Portugal,4288.09,2,0,1,641.85
IDXX22510,Adonis\AS-373,Ms. Robin Frith,F,1980-09-02,2021-05-16,2022-01-26,1,Wallis and Futuna,French Southern Territories,10479.56,1,1,1,1299.49
IDYY38627,Calisto\CS-696,Ms. Mary Fontenette,F,2000-01-28,2021-06-19,2021-09-06,1,Burundi,British Virgin Islands,10618.14,2,1,2,1794.53
IDZZ67929,Omega\OG-322,Ms. Juanita Ball,F,2021-05-06,2021-05-03,2021-07-20,0,Monaco,Malaysia,10060.25,2,1,2,1259.65
IDZZ51674,Omega\OG-803,Mr. James Kiesel,M,2011-08-10,2021-12-01,2022-10-30,0,Lithuania,Tajikistan,3930.04,0,0,2,886.5
IDXX26111,Adonis\AS-565,Mr. Marvin Benson,M,2004-07-01,2021-12-22,2022-01-02,1,American Samoa,Portugal,16727.06,2,1,3,4791.56
IDYY55761,Calisto\CS-256,Mr. Ryan Barker,M,1988-01-20,2021-05-31,2022-02-18,1,Guadeloupe,São Tomé and Príncipe,7747.24,0,0,1,1157.99
IDXX70008,Adonis\AS-569,Ms. Clarence Andrews,F,2003-01-02,2021-03-14,2021-03-30,1,Algeria,Mayotte,6531.68,1,1,2,770.05
IDZZ45590,Omega\OG-624,Mr. Ivan Vedder,M,1981-11-02,2021-02-24,2021-04-08,1,Nauru,Christmas Island,6863.22,2,1,2,1011.7
IDXX42300,Adonis\AS-542,Mr. Robert Lang,M,1986-05-28,2021-12-03,2022-01-06,1,Bosnia and Herzegovina,Liechtenstein,728.89,1,0,2,546.64
IDYY11256,Calisto\CS-349,Mr. Daniel Griffith,M,2005-12-01,2021-02-14,2021-06-21,0,Brunei,Suriname,18643.24,1,0,2,3278.81
IDZZ76754,Omega\OG-860,Ms. Evie Harbeson,F,1983-08-29,2021-12-17,2022-04-24,1,Belgium,Egypt,3454.37,2,0,2,720.13
IDXX42207,Adonis\AS-815,Mr. Kevin Garcia,M,1998-04-16,2021-12-15,2022-01-03,1,Italy,Monaco,469.88,0,0,2,587.04
IDXX13945,Adonis\AS-040,Ms. Sheryl Huckins,F,2008-12-13,2021-01-15,2021-02-01,0,Gaza Strip,New Caledonia,15074.59,1,1,2,2977.62
IDYY10643,Calisto\CS-337,Mr. David Crespo,M,2014-12-23,2021-11-07,2022-01-09,0,Mongolia,Philippines,4137.69,2,0,2,843.15
IDYY14652,Calisto\CS-367,Mr. Roger Guthrie,M,1988-06-18,2021-05-29,2022-05-11,1,Burundi,Tonga,16167.9,1,1,1,1545.91
IDXX34023,Adonis\AS-183,Ms. Linda Arroyo,F,2009-10-17,2021-03-06,2021-07-25,0,Guyana,China,15173.88,2,0,2,3234.94
IDXX21266,Adonis\AS-413,Ms. Joann Gonzalez,F,2000-07-06,2021-01-28,2021-07-04,1,Guinea-Bissau,Saudi Arabia,6479.65,2,1,2,1438.05
IDXX19023,Adonis\AS-379,Mr. Edward Loy,M,2014-12-07,2021-09-17,2022-05-09,0,Gabon,Mexico,12508.62,2,1,1,1306.04
IDYY97605,Calisto\CS-060,Ms. Joyce Glover,F,2018-05-19,2021-01-27,2021-08-08,0,South Korea,Albania,8724.12,0,1,2,1634.78
IDXX51050,Adonis\AS-987,Ms. Nicole Clinton,F,1983-03-10,2021-12-01,2022-02-28,1,Cape Verde,Isle of Man,4576.92,1,0,2,1320.87
IDYY86581,Calisto\CS-056,Ms. Doris Mixon,F,2004-06-19,2021-08-28,2021-10-29,1,Uganda,El Salvador,13336.24,1,1,2,2305.76
